arxiv_id,url,host,status,public,default_branch,pushed_at,size_kb,stars,archived,empty,note
2412.07978,github.com/ShuxiangCao/LeeQ,github,200,True,main,2026-05-08,28064,14,False,False,
2412.07978,huggingface.co/NousResearch/Nous-Hermes-2-Yi-34B,huggingface,200,True,,2024-02-20,,,,False,
2412.09429,github.com/XMUDM/BioResearcher,github,200,True,main,2025-05-27,22591,6,False,False,
2412.13612,anonymous.4open.science/r/Eval_LLM_,other,,,,,,,,,unsupported host; needs manual check
2412.16270,github.com/jsvine/pdfplumber,github,200,True,stable,2026-07-20,21682,10593,False,False,
2412.16270,github.com/pdfminer/pdfminer.six,github,200,True,master,2026-03-13,32446,7008,False,False,
2412.16270,github.com/py-pdf/pypdf,github,200,True,main,2026-07-24,36286,10129,False,False,
2412.17596,github.com/x66ccff/liveideabench,github,200,True,main,2026-04-21,45331,30,False,False,
2501.04306,github.com/du-nlp-lab/LLM4SR,github,200,True,main,2025-01-22,850,131,False,False,
2501.08120,github.com/lamm-mit/PRefLexOR,github,200,True,main,2025-02-24,664,244,False,False,
2501.10385,github.com/M3RG-IITD/AILA,github,200,True,main,2025-12-11,36167,14,False,False,
2502.05151,github.com/NL2G/TransformingScienceLLMs,github,200,True,main,2026-06-20,1012,16,False,False,
2502.14297,github.com/SakanaAI/AI-Scientist,github,200,True,main,2025-12-19,116533,14293,False,False,
2502.14499,github.com/KellerJordan/modded-nanogpt,github,200,True,master,2026-07-03,81815,5583,False,False,
2502.14499,github.com/RobertTLange/gymnax-blines,github,200,True,main,2023-04-03,77483,78,False,False,
2502.14499,github.com/facebookresearch/MLGym,github,200,True,main,2025-08-10,31226,613,False,False,
2502.18864,huggingface.co/datasets/Idavidrein/gpqa,huggingface,200,True,,2026-03-05,,,,False,
2503.05712,github.com/NikeHop/OpenReviewParser,github,200,True,master,2025-03-21,202,0,False,False,
2503.05712,github.com/NikeHop/automatic_,github,404,,,,,,,,not found or private
2503.05712,github.com/kermitt2/grobid,github,200,True,master,2026-07-25,1963751,5024,False,False,
2503.05712,huggingface.co/allenai/specter2_base,huggingface,200,True,,2024-12-04,,,,False,
2503.05712,huggingface.co/datasets/nhop,huggingface,401,,,,,,,,
2503.08506,github.com/titipata/scipdf_parser,github,200,True,master,2024-03-21,30619,455,False,False,
2503.13399,github.com/jmhb0/microvqa,github,200,True,main,2025-11-25,90618,36,False,False,
2503.13399,huggingface.co/datasets/jmhb/microvqa,huggingface,200,True,,2025-05-05,,,,False,
2503.22708,github.com/allenai/codescientist,github,200,True,main,2026-03-25,6314,345,False,False,
2503.23170,github.com/amirgroup-codes/AstroAgents,github,200,True,main,2025-04-01,2517,15,False,False,
2504.03160,github.com/GAIR-NLP/DeepResearcher,github,200,True,main,2026-05-10,18794,783,False,False,
2504.03160,github.com/camel-ai/owl,github,200,True,main,2026-07-22,39141,20067,False,False,
2504.03160,github.com/mannaandpoem/OpenManus,github,200,True,main,2025-06-21,0,596,False,True,
2504.03160,github.com/volcengine/verl,github,200,True,main,2026-07-25,25370,22656,False,False,
2504.03160,huggingface.co/Qwen/Qwen2.5-7B-Instruct,huggingface,200,True,,2025-01-12,,,,False,
2504.03810,huggingface.co/docs/transformers,huggingface,401,,,,,,,,
2504.08762,github.com/TechnicolorGUO/InteractiveSurvey,github,200,True,main,2025-10-27,248754,24,False,False,
2504.09702,github.com/yunx-z/MLRC-Bench,github,200,True,main,2025-11-14,1384403,10,False,False,
2504.09702,huggingface.co/spaces/launch,huggingface,401,,,,,,,,
2504.10415,github.com/PingchuanMa/SGA,github,200,True,main,2024-05-31,632,85,False,False,
2504.10415,github.com/deep-symbolic-mathematics/llm-srbench,github,200,True,main,2025-07-31,1293,115,False,False,
2504.12345,github.com/quao627/Urban-CI-LitReview,github,200,True,main,2025-06-18,11,3,False,False,
2504.12976,github.com/UniverseTBD/hypogen-cs,github,200,True,main,2025-04-16,1,1,False,False,
2504.12976,huggingface.co/datasets/UniverseTBD/hypogen-dr1,huggingface,200,True,,2025-04-16,,,,False,
2504.13344,github.com/polybot-nexus/robo_advisor_dashboard,github,200,True,main,2025-01-05,3907,3,False,False,
2504.14191,github.com/titipata/scipdf_parser,github,200,True,master,2024-03-21,30619,455,False,False,
