arxiv_id,status,n_pages,repo_urls,has_repo,has_data_archive,availability_statement
2503.19309,ok,21,,0,0,0
2503.22444,ok,33,,0,0,0
2503.22708,ok,98,github.com/allenai/codescientist,1,0,0
2503.23170,ok,24,github.com/amirgroup-codes/AstroAgents,1,0,1
2503.24047,ok,68,,0,0,0
2504.01848,ok,30,,0,0,1
2504.01911,ok,21,,0,0,0
2504.03160,ok,19,github.com/GAIR-NLP/DeepResearcher | github.com/camel-ai/owl | github.com/mannaandpoem/OpenManus | github.com/volcengine/verl | huggingface.co/Qwen/Qwen2.5-7B-Instruct,1,0,1
2504.03810,ok,50,huggingface.co/docs/transformers,1,0,0
2504.05496,ok,11,,0,0,0
2504.08762,ok,10,github.com/TechnicolorGUO/InteractiveSurvey,1,0,0
2504.08810,ok,19,,0,0,1
2504.09702,ok,45,github.com/yunx-z/MLRC-Bench | huggingface.co/spaces/launch,1,0,1
2504.10415,ok,35,github.com/PingchuanMa/SGA | github.com/deep-symbolic-mathematics/llm-srbench,1,0,0
2504.11524,ok,32,,0,0,0
2504.12345,ok,25,github.com/quao627/Urban-CI-LitReview,1,0,1
2504.12976,ok,19,github.com/UniverseTBD/hypogen-cs | huggingface.co/datasets/UniverseTBD/hypogen-dr1,1,0,1
2504.13344,ok,24,github.com/polybot-nexus/robo_advisor_dashboard,1,0,1
2504.14191,ok,57,github.com/titipata/scipdf_parser,1,0,0
2504.18736,ok,35,github.com/EvidenceBench/EvidenceBench,1,1,1
2504.19017,ok,71,github.com/lamm-mit/Sparks,1,0,1
2504.21776,ok,41,github.com/RUC-NLPIR/WebThinker | github.com/project-numina/aimo-progress-prize | huggingface.co/AI-MO/NuminaMath-1.5 | huggingface.co/datasets/glaiveai,1,0,1
2505.03049,ok,33,github.com/gradio-app/gradio | github.com/rahulnyk/graph_maker | github.com/unslothai/unsloth | huggingface.co/datasets/shangzhu/ChemQA,1,1,0
2505.04638,ok,43,github.com/HelloWorldLTY/ARIEL | huggingface.co/datasets/iLOVE2D/ARIEL_DATA,1,0,0
2505.04649,ok,15,,0,0,1
2505.04651,ok,60,github.com/meta-llama/llama3,1,0,0
2505.08341,ok,13,github.com/EperLuo/BAISBench | huggingface.co/datasets/EperLuo/BaisBench,1,0,0
2505.11718,ok,18,,0,0,1
2505.11855,ok,40,github.com/guijinSON/ai4s_r2.git | huggingface.co/datasets/amphora/SPOT-MetaData,1,0,0
2505.12039,ok,36,,0,0,0
2505.13400,ok,30,,0,0,1
2505.14599,ok,16,github.com/Teddy-XiongGZ/TruthHypo,1,0,1
2505.14963,ok,26,github.com/shan23chen/MedBrowseComp | huggingface.co/datasets/AIM-Harvard/MedBrowseComp | huggingface.co/datasets/AIM-Harvard/MedBrowseComp_Meta,1,1,0
2505.15047,ok,40,,0,0,0
2505.15998,ok,24,,0,0,1
2505.16100,ok,29,github.com/cbioportal/cbioportal,1,0,0
2505.16982,ok,6,,0,0,0
2505.17873,ok,23,github.com/wanhaoliu/MOOSE-Chem3.git,1,0,0
2505.18705,ok,38,github.com/HKUDS/AI-Researcher | github.com/langchain-ai/langchain | github.com/microsoft/autogen,1,0,0
2505.19209,ok,25,github.com/ZonglinY/MOOSE-Chem2,1,0,0
2505.19955,ok,49,github.com/chchenhui/mlrbench | huggingface.co/datasets/chchenhui,1,0,1
2505.20246,ok,26,github.com/CharlesQ9/HistAgent | github.com/huggingface/smolagents | huggingface.co/datasets/jiahaoq/HistBench,1,0,0
2505.20466,ok,34,,0,0,0
2505.20538,ok,20,github.com/astro-datalab/notebooks-latest | github.com/spacetelescope/jdat_notebooks,1,0,1
2505.20779,ok,35,github.com/allenai/scispacy | github.com/mistralai/mistral-finetune | github.com/mistralai/mistral-inference | github.com/sunnweiwei/RankGPT,1,0,0
2505.21396,ok,25,github.com/assafelovic/gpt-researcher,1,0,0
2505.21935,ok,25,,0,0,0
2505.22648,ok,24,github.com/Alibaba-NLP/WebAgent | github.com/QwenLM/Qwen-Agent | github.com/RUC-NLPIR/WebThinker | github.com/RUCAIBox/SimpleDeepSear | github.com/camel-ai/owl,1,0,0
2505.23559,ok,30,github.com/ulab-uiuc/tiny-scientist,1,0,1
2505.23852,ok,28,github.com/microsoft/autogen | github.com/ndobb/nacc_paper_llm_reproducer2,1,0,1
2506.01372,ok,21,github.com/ResearAI/Awesome-AI-Scientist,1,0,0
2506.02454,ok,48,,0,0,0
2506.03444,ok,17,anonymous.4open.science/r/correlation_prior-3473,1,0,1
2506.05999,ok,34,github.com/jarlsanna/gps-for-magnetron-sputtering | github.com/pywinauto/pywinauto,1,0,0
2506.06287,ok,29,,0,0,1
2506.06881,ok,20,,0,0,0
2506.08140,ok,23,github.com/bndr/pipreqs | github.com/en/graphql,1,0,1
2506.11113,ok,21,github.com/Lin-TzuLing/Break | github.com/QData/TextAttack,1,0,0
2506.11763,ok,31,github.com/Ayanami0730/deep_research_bench,1,0,0
2506.12312,ok,30,,0,0,1
2506.12317,ok,13,,0,0,1
2506.12385,ok,13,github.com/akastrin/ida2025lbd,1,0,0
2506.12594,ok,95,github.com/AI-secure/RedCode | github.com/AI4ChemS/Eunomia | github.com/Agent-RL/ReSearch | github.com/AutoBench/AutoBench | github.com/DISL-Lab/UniSumEval-v1.0 | github.com/DataForScience/LLM4DS,1,0,0
2506.12937,ok,26,huggingface.co/amazon/MistralLite,1,0,0
2506.13784,ok,8,huggingface.co/datasets/PKU-DS-,1,0,1
2506.14345,ok,6,,0,0,0
2506.18096,ok,31,github.com/0russwest0/Agent-R1 | github.com/Fosowl/agenticSeek | github.com/MiroMindAI/MiroRL | github.com/ai-agents-2030/awesome-deep-research- | github.com/ai-agents-2030/awesome-deep-research-agent | github.com/bytedance/deer-flow,1,0,1
2506.18348,ok,12,github.com/vvvlun/IDVSCI,1,0,0
2506.18959,ok,18,,0,0,0
2506.19613,ok,18,,0,0,1
2506.19724,ok,27,github.com/j1mk1m/AutoExperiment,1,0,0
2506.20249,ok,93,github.com/BlinkDL/RWKV-LM | github.com/EleutherAI/lm-evaluation-harness | github.com/allenai/genesys | github.com/fla-org/flash-linear-attention | github.com/patrick-kidger/torchtyping | github.com/state-spaces/mamba,1,0,1
2506.21506,ok,51,github.com/Stigmatoz/web-activity-time-tracker | huggingface.co/blog/open-deep-research,1,0,0
2506.21763,ok,21,,0,0,0
2506.22026,ok,18,github.com/simra-shahid/idea_novelty_checker,1,0,0
2506.22419,ok,39,github.com/Aider-AI/aider | github.com/IntologyAI/Zochi | github.com/KellerJordan/modded-nanogpt | github.com/facebookresearch/llm-speedrunner | github.com/google-research/rliable | github.com/karpathy/nanoGPT,1,0,1
2506.23692,ok,10,,0,0,0
2507.00048,ok,12,,0,0,1
2507.00310,ok,37,github.com/allenai/autodiscovery,1,0,0
2507.01485,ok,28,github.com/AlexandreQ27/BioMARS,1,0,1
2507.02083,ok,61,github.com/h4duan/SciGym | huggingface.co/datasets/h4duan/scigym-eval | huggingface.co/datasets/h4duan/scigym-sbml,1,0,1
2507.02379,ok,16,,0,0,0
2507.04410,ok,7,,0,0,0
